Description,Brand,Price,Img url,Country
Juhayna Greek Yogurt with Strawberry - 180 gram,Juhayna,32.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h20/h40/26634241474590/551160_main.jpg_200Wx200H,Egypt
Breadway Bread Crumbs - 450 gram,Unknown,17.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h3a/hcb/14183826096158/545427_main.jpg_200Wx200H,Egypt
Juhayna Greek Yogurt with Peach - 180 gram,Juhayna,32.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h54/h21/26656878166046/551157_main.jpg_200Wx200H,Egypt
Rich Bake Oat Toast - 500 gram,Rich Bake,49.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hfe/h71/48146421973022/200Wx200H_575195_main.jpg,Egypt
Juhayna Light Yoghurt - 105gm - Pack of 5+1,Juhayna,35.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h4c/hef/31324857204766/490943_main.jpg_200Wx200H,Egypt
Lactel Natural Greek Yogurt - 170 gram,Lactel,26.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h75/he1/13102700199966/490884_main.jpg_200Wx200H,Egypt
Lamar Cooking Cream - 1 Liter,Lamar,149.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha9/h2f/35096194187294/200Wx200H_530692_main.jpg,Egypt
Breadway Multigrain Toast - 500 gram,Unknown,50.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h06/hcb/14183820591134/545413_main.jpg_200Wx200H,Egypt
Juhayna Light Rayeb Milk - 440ml,Juhayna,18.20 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h4d/h35/26634238197790/384433_main.jpg_200Wx200H,Egypt
Juhayna Strawberry Yogurt - 105 gm 5 + 1 Pieces,Juhayna,36.70 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h06/h34/26634242785310/563993_main.jpg_200Wx200H,Egypt
Lamar Skimmed Milk - 200 ml,Lamar,9.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h0d/hc4/10067224133662/406748_main.jpg_200Wx200H,Egypt
Lamar Whipping Cream - 1 Liter,Lamar,149.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h22/h36/35096194351134/200Wx200H_530694_main.jpg,Egypt
Juhayna Whipping Cream - 500 ml,Juhayna,83.60 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc4/h70/9286503497758/12718_main.jpg_200Wx200H,Egypt
Rich Bake Whole Wheat Dry Toast - 390gm,Rich Bake,48.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h86/h36/15843522641950/361980_main.jpg_200Wx200H,Egypt
Picky Baker Bread Crumbs - 500 gram,Unknown,16.10 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/haa/h59/48939350949918/200Wx200H_595499_main.jpg,Egypt
BASHAYER RED EGGS 15P,Bashaer,92.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he3/h59/9286542163998/228273_main.jpg_200Wx200H,Egypt
Juhayna Greek Yogurt with Vanilla - 180 gram,Juhayna,32.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8c/h2b/26656878460958/551158_main.jpg_200Wx200H,Egypt
EGY.GROWERS BALADI EGG 10P,Egy.growers,72.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h0e/hd5/14855019462686/414768_main.jpg_200Wx200H,Egypt
LAMAR FULL CREAM MILK 500M,Lamar,19.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hae/h3a/35096193138718/200Wx200H_415423_main.jpg,Egypt
BASHAYER RED EGGS 10P,Bashaer,65.30 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he6/h02/9286541508638/228272_main.jpg_200Wx200H,Egypt
Rich Bake Petit Pain - 235gm,Rich Bake,18.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha9/h75/48146418466846/200Wx200H_38154_main.jpg,Egypt
Juhayna Natural Yogurt - 1 Kg,Juhayna,64.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h0b/h56/26656872267806/71394_main.jpg_200Wx200H,Egypt
EGY.GROWERS RED EGGS 15P,Egy.growers,92.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h65/ha3/9286941671454/176615_main.jpg_200Wx200H,Egypt
Picky Baker Multigrain Toast - 500 gram,Unknown,35.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h22/h09/48939359174686/200Wx200H_571093_main.jpg,Egypt
Juhayna Zabado Peach Yogurt Drink - 220 ml,Juhayna,10.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h70/hcb/26624098336798/70087_main.jpg_200Wx200H,Egypt
Juhayna Skimmed Milk - 200 ml,Juhayna,10.65 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he6/hde/26626488533022/12725_main.jpg_200Wx200H,Egypt
Yopolis Greek Yoghurt with Strawberry Cheesecake - 150 gram,Unknown,25.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h70/h8c/34495219630110/595132_main.jpg_200Wx200H,Egypt
EGY.GROWERS WHITE EGGS 10P,Egy.growers,64.30 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h0b/h75/9286555598878/134811_main.jpg_200Wx200H,Egypt
Alpro Almond Unsweetened Drink - 1 Liter,Alpro,124.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h46/he2/32185376243742/426430_main.jpg_200Wx200H,Egypt
Alpro Almond Milk - 1 Liter,Alpro,135.15 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he3/h23/28490855612446/583934_main.jpg_200Wx200H,Egypt
Juhayna Zabado Strawberry Yogurt Drink - 220 ml,Juhayna,10.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he1/hc0/26624098664478/70084_main.jpg_200Wx200H,Egypt
Yopolis Greek Yoghurt with Mixed Berries - 150 gram,Unknown,25.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha3/he7/34495221268510/595137_main.jpg_200Wx200H,Egypt
Juhayna Rayeb Light Milk - 220ml,Juhayna,10.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h21/h0a/27199734349854/384432_main.jpg_200Wx200H,Egypt
Juhayna Zabado Berry Yogurt Drink - 220 ml,Juhayna,10.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha7/hc2/26623831015454/409935_main.jpg_200Wx200H,Egypt
Obour Land Feta with Old Cheese - 500 Gram,Obour land,43.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h64/hae/17059568222238/568636_main.jpg_200Wx200H,Egypt
Alpro Coconut Milk - 1 Liter,Alpro,135.15 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h72/hed/28490852827166/583936_main.jpg_200Wx200H,Egypt
Yopolis Yopo Yoghurt with Granola Chocolate - 145 gram,Unknown,26.05 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h1a/hf6/34495218647070/595142_main.jpg_200Wx200H,Egypt
Teama Milk Domyati Cheese - 900g,Teama,94.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hbe/h22/9933137248286/465689_main.jpg_200Wx200H,Egypt
Juhayna Natural Yogurt - 475 gram,Juhayna,31.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h35/hf5/26634236723230/71395_main.jpg_200Wx200H,Egypt
Yopolis Yopo Yoghurt with Salted Caramel and Caramelized Almonds - 145 gram,Unknown,21.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7a/h24/34495224217630/595144_main.jpg_200Wx200H,Egypt
Juhayna Sour Cream - 250 gram,Juhayna,47.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7e/hf2/26634244128798/563990_main.jpg_200Wx200H,Egypt
Juhayna Natural Yogurt - 115 gram,Juhayna,7.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2e/h0b/46427470331934/200Wx200H_600844_main.jpg,Egypt
Lamar Whipping Cream - 500 ml,Lamar,83.60 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2d/hd3/35096361107486/200Wx200H_553948_main.jpg,Egypt
